drug,date,forecast,ci_lower,ci_upper
Acenocoumarol,2023-01-01,2.28717421903135,2.0140863286825272,2.560262109380173
Acenocoumarol,2023-02-01,2.3284815615595713,2.0553820667854374,2.601581056333705
Acenocoumarol,2023-03-01,2.421850328081775,2.153914305448213,2.6897863507153374
Acenocoumarol,2023-04-01,2.2721569438416687,2.004221273926928,2.5400926137564093
Acenocoumarol,2023-05-01,2.19820765196849,1.930285229263943,2.466130074673037
Acenocoumarol,2023-06-01,2.2709482428737218,2.0030258242965755,2.538870661450868
Acenocoumarol,2023-07-01,2.3060441408350205,2.0381217558064275,2.5739665258636135
Acenocoumarol,2023-08-01,2.0738616582250047,1.8059392732208472,2.341784043229162
Acenocoumarol,2023-09-01,2.146185166808734,1.8782627818892474,2.4141075517282204
Acenocoumarol,2023-10-01,2.1442643923773033,1.876342007457929,2.412186777296678
Acenocoumarol,2023-11-01,2.1699460470294367,1.9020236621102753,2.437868431948598
Acenocoumarol,2023-12-01,2.1588568336324157,1.8909344487132547,2.4267792185515766
Acenocoumarol,2024-01-01,2.0343490734890857,1.7653499233487338,2.3033482236294374
Acenocoumarol,2024-02-01,2.0713714953651716,1.8023722538950728,2.34037073683527
Acenocoumarol,2024-03-01,2.1505860767056655,1.8859929485255638,2.415179204885767
Acenocoumarol,2024-04-01,2.0176000882190186,1.753007336917122,2.2821928395209152
Acenocoumarol,2024-05-01,1.9521160549295746,1.687534590528763,2.216697519330386
Acenocoumarol,2024-06-01,2.01671740665583,1.7521359460955908,2.2812988672160697
Acenocoumarol,2024-07-01,2.047874833718507,1.7832934017357402,2.3124562657012735
Acenocoumarol,2024-08-01,1.8416856316454029,1.5771041996846078,2.106267063606198
Acenocoumarol,2024-09-01,1.9059127584464288,1.6413313265577418,2.170494190335116
Acenocoumarol,2024-10-01,1.904207040637125,1.6396256087485372,2.168788472525713
Acenocoumarol,2024-11-01,1.9270135269291397,1.6624320950407334,2.191594958817546
Acenocoumarol,2024-12-01,1.9171657858412956,1.6525843539528897,2.1817472177297015
Acenocoumarol,2025-01-01,1.8065970757240668,1.5411554257429112,2.0720387257052226
Acenocoumarol,2025-02-01,1.8394747170866335,1.5740329941152456,2.1049164400580214
Acenocoumarol,2025-03-01,1.909820968253968,1.6478950394230685,2.1717468970848675
Acenocoumarol,2025-04-01,1.7917231938585991,1.5297975652705587,2.0536488224466396
Acenocoumarol,2025-05-01,1.7335703111582632,1.4716536743262134,1.995486947990313
Acenocoumarol,2025-06-01,1.7909393313714799,1.5290226975990246,2.052855965143935
Acenocoumarol,2025-07-01,1.818608583100267,1.5566919720940775,2.0805251941064564
Acenocoumarol,2025-08-01,1.6355029330582238,1.373586322069538,1.8974195440469097
Acenocoumarol,2025-09-01,1.692539624043941,1.4306230131127002,1.9544562349751817
Acenocoumarol,2025-10-01,1.6910248668931278,1.4291082559619661,1.9529414778242895
Acenocoumarol,2025-11-01,1.711278092841368,1.4493614819103509,1.9731947037723852
Acenocoumarol,2025-12-01,1.7025328384090042,1.4406162274779872,1.964449449340021
Acenocoumarol,2026-01-01,1.604342655136721,1.3417405338690171,1.866944776404425
Acenocoumarol,2026-02-01,1.633539537577767,1.3709373581255706,1.8961417170299635
Acenocoumarol,2026-03-01,1.696010297047741,1.436207105013281,1.9558134890822012
Acenocoumarol,2026-04-01,1.5911339527398847,1.3313309994196512,1.8509369060601182
Acenocoumarol,2026-05-01,1.5394914744645785,1.2796956701987117,1.7992872787304452
Acenocoumarol,2026-06-01,1.5904378462085802,1.3306420443752898,1.8502336480418706
Acenocoumarol,2026-07-01,1.6150094351814104,1.3552136514487798,1.874805218914041
Acenocoumarol,2026-08-01,1.4524030584157173,1.1926072746970031,1.7121988421344314
Acenocoumarol,2026-09-01,1.503054306270507,1.2432585225974655,1.7628500899435486
Acenocoumarol,2026-10-01,1.5017091311111546,1.2419133474381758,1.7615049147841333
Acenocoumarol,2026-11-01,1.5196949425184163,1.2598991588455524,1.7794907261912802
Acenocoumarol,2026-12-01,1.5119287477733916,1.2521329641005279,1.7717245314462553
Acenocoumarol,2027-01-01,1.4247312749908794,1.1643903248451726,1.6850722251365862
Acenocoumarol,2027-02-01,1.4506594714474184,1.190318475017309,1.7110004678775277
Acenocoumarol,2027-03-01,1.50613642613932,1.2480195936630214,1.7642532586156185
